Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","18,435.15","18,473.35","18,162.75","18,199.10","-186.20","-1.01","1,875.91","17,223.33","18,887.60","15,183.40","9.54","0.22"
"DIVISLAB","3,355.00","3,529.50","3,351.55","3,515.00","163.45","4.88","14.55","505.62","4,708.75","3,195.15","-20.27","7.63"
"CIPLA","1,096.10","1,130.00","1,085.65","1,129.50","38.35","3.51","32.25","358.01","1,180.10","860.00","26.37","2.27"
"APOLLOHOSP","4,610.80","4,788.45","4,602.20","4,750.00","153.35","3.34","8.77","414.04","5,141.50","3,361.55","0.96","7.49"
"SUNPHARMA","992.00","1,009.50","988.40","1,009.45","21.10","2.13","20.44","204.59","1,058.30","753.05","32.14","0.63"
"DRREDDY","4,379.95","4,435.00","4,353.40","4,413.00","43.25","0.99","3.48","153.36","4,931.05","3,654.00","-3.24","1.45"
"HCLTECH","1,035.00","1,053.25","1,035.00","1,038.50","8.80","0.85","28.79","299.80","1,359.40","877.35","-10.47","-5.20"
"TECHM","1,024.50","1,030.55","1,020.25","1,025.00","7.05","0.69","20.38","209.10","1,838.00","943.70","-35.86","-1.69"
"NESTLEIND","20,165.00","20,348.00","20,062.15","20,270.00","134.45","0.67","0.70","142.15","21,050.00","16,000.00","7.36","2.57"
"TCS","3,249.00","3,283.05","3,240.00","3,262.25","18.30","0.56","14.33","467.09","4,043.00","2,926.10","-8.28","-0.65"
"INFY","1,515.00","1,521.00","1,502.35","1,512.10","4.80","0.32","62.36","942.57","1,953.90","1,355.00","-15.94","-3.58"
"SBILIFE","1,231.05","1,244.80","1,221.60","1,234.25","3.00","0.24","12.81","158.22","1,340.35","1,003.50","9.64","0.62"
"WIPRO","390.90","393.25","387.85","389.10","0.15","0.04","51.08","199.29","726.80","372.40","-41.57","0.12"
"BAJAJ-AUTO","3,615.00","3,657.15","3,592.60","3,611.60","-2.00","-0.06","1.49","54.07","4,131.75","3,027.05","16.31","-0.22"
"HINDUNILVR","2,687.95","2,695.15","2,650.10","2,667.35","-7.20","-0.27","7.79","207.62","2,741.60","1,901.55","17.55","6.63"
"UPL","761.45","767.50","751.80","752.65","-2.20","-0.29","22.20","168.53","848.00","607.50","6.26","-0.91"
"HINDALCO","459.30","463.90","451.90","455.40","-1.65","-0.36","55.57","254.66","636.00","308.95","5.15","5.77"
"JSWSTEEL","750.00","752.95","739.65","743.00","-2.80","-0.38","16.06","119.95","790.00","520.05","15.62","6.67"
"ASIANPAINT","3,085.00","3,112.45","3,050.05","3,066.90","-15.25","-0.49","6.16","189.65","3,590.00","2,560.00","-5.33","-0.92"
"POWERGRID","217.05","218.25","213.85","215.85","-1.45","-0.67","52.54","113.62","248.35","186.35","2.86","-1.46"
"HEROMOTOCO","2,772.55","2,798.05","2,737.00","2,754.00","-18.55","-0.67","3.28","90.80","2,938.60","2,146.85","16.86","2.86"
"TATACONSUM","809.00","811.90","801.00","802.60","-5.70","-0.71","8.12","65.43","861.15","650.20","13.11","4.11"
"TITAN","2,515.00","2,528.00","2,481.00","2,490.00","-18.15","-0.72","5.19","129.82","2,791.00","1,825.05","11.19","-3.24"
"M&M","1,279.90","1,284.50","1,258.50","1,265.95","-9.30","-0.73","12.52","159.34","1,364.85","671.15","55.46","3.92"
"LT","2,153.10","2,174.95","2,142.85","2,147.00","-16.25","-0.75","19.80","426.63","2,211.60","1,456.35","19.32","6.74"
"HDFCBANK","1,641.00","1,644.80","1,606.55","1,620.00","-13.40","-0.82","46.35","753.52","1,722.10","1,271.60","13.63","1.42"
"HDFCLIFE","585.00","589.90","571.30","575.00","-4.80","-0.83","26.94","156.61","678.80","497.05","-9.25","8.01"
"COALINDIA","226.50","227.70","222.05","223.95","-2.15","-0.95","36.75","82.80","263.40","139.15","59.17","-2.40"
"NTPC","170.00","171.05","166.60","167.70","-2.05","-1.21","84.54","142.40","181.85","119.10","37.74","2.01"
"TATASTEEL","111.80","112.00","108.70","109.60","-1.35","-1.22","323.04","356.37","138.67","82.70","-89.79","5.13"
"ITC","341.00","341.25","334.50","335.70","-4.45","-1.31","70.45","237.26","361.45","207.00","58.05","-0.44"
"EICHERMOT","3,330.00","3,350.00","3,262.00","3,269.00","-44.45","-1.34","4.85","160.36","3,864.10","2,159.55","35.84","-3.24"
"HDFC","2,704.00","2,711.65","2,643.90","2,662.20","-38.10","-1.41","20.43","546.08","2,933.80","2,026.00","4.39","1.65"
"GRASIM","1,760.55","1,772.40","1,727.85","1,734.00","-24.95","-1.42","4.10","71.57","1,929.80","1,276.60","7.27","3.07"
"RELIANCE","2,621.00","2,633.00","2,576.10","2,583.20","-38.60","-1.47","39.35","1,023.69","2,856.15","2,180.00","13.43","1.27"
"ONGC","146.50","146.80","142.70","143.50","-2.35","-1.61","100.11","144.89","194.95","119.85","7.09","5.94"
"SBIN","605.90","609.15","589.60","594.30","-10.15","-1.68","92.17","552.71","629.55","425.00","32.30","-0.64"
"BHARTIARTL","833.00","833.05","812.35","815.00","-13.95","-1.68","50.79","416.72","860.55","628.75","23.81","-4.25"
"KOTAKBANK","1,860.50","1,860.95","1,809.00","1,815.95","-31.15","-1.69","23.83","436.89","1,997.55","1,631.00","4.22","-6.59"
"BAJFINANCE","6,693.90","6,693.90","6,505.00","6,528.30","-114.55","-1.72","6.22","409.93","8,045.00","5,220.00","-1.60","-2.26"
"ICICIBANK","910.25","915.85","887.00","893.60","-16.10","-1.77","113.41","1,019.84","958.20","642.15","25.87","-3.02"
"AXISBANK","953.10","958.90","928.00","931.50","-18.25","-1.92","83.69","790.73","958.90","618.25","38.13","7.06"
"TATAMOTORS","412.60","414.40","401.00","402.15","-8.35","-2.03","116.06","472.68","528.50","366.20","-10.04","-4.50"
"BPCL","341.00","342.95","332.10","333.15","-7.10","-2.09","25.85","87.09","406.90","288.05","-7.46","7.36"
"BRITANNIA","4,509.05","4,530.00","4,406.15","4,413.25","-95.80","-2.12","3.03","134.51","4,537.00","3,050.00","27.11","7.12"
"MARUTI","8,524.35","8,566.95","8,288.30","8,339.95","-184.40","-2.16","8.01","672.50","9,769.00","6,536.55","14.46","-5.92"
"BAJAJFINSV","1,618.50","1,629.25","1,575.50","1,579.95","-35.70","-2.21","13.98","223.40","1,862.10","1,072.72","-90.02","-3.42"
"INDUSINDBK","1,236.00","1,238.15","1,190.95","1,201.15","-27.50","-2.24","14.95","181.82","1,275.80","763.20","41.96","5.46"
"ULTRACEMCO","7,130.50","7,153.30","6,926.00","6,928.00","-170.00","-2.40","3.88","272.22","7,946.00","5,157.05","-3.25","2.56"
"ADANIPORTS","887.00","893.00","851.55","858.80","-25.45","-2.88","46.61","406.59","987.85","651.95","22.39","-1.47"
"ADANIENT","4,175.00","4,190.00","3,883.25","3,909.00","-256.30","-6.15","35.86","1,436.19","4,190.00","1,528.80","145.86","-2.32"

